,loss
0,2.1916773319244385
1,2.1872050762176514
2,2.182295083999634
3,2.1773359775543213
4,2.172663450241089
5,2.169450521469116
6,2.1624724864959717
7,2.1600236892700195
8,2.153444290161133
9,2.144761562347412
10,2.1302332878112793
11,2.1205313205718994
12,2.116337299346924
13,2.0958220958709717
14,2.0849499702453613
15,2.0754904747009277
16,2.0616791248321533
17,2.0480878353118896
18,2.018561601638794
19,2.0105557441711426
20,1.9597890377044678
21,1.9125782251358032
22,1.8820457458496094
23,1.7862555980682373
24,1.7190327644348145
25,1.6861989498138428
26,1.5770204067230225
27,1.4788397550582886
28,1.467468500137329
29,1.4071389436721802
30,1.4125738143920898
31,1.3171954154968262
32,1.208690881729126
33,1.095197081565857
34,1.1065088510513306
35,1.3226509094238281
36,1.3576632738113403
37,1.5246044397354126
38,1.1392699480056763
39,1.0338964462280273
40,1.0627517700195312
41,0.9952518343925476
42,1.0584865808486938
43,0.9376951456069946
44,0.9368196725845337
45,0.9412773847579956
46,1.2164040803909302
47,0.9258285760879517
48,0.907475471496582
49,0.9512933492660522
50,0.8641722798347473
51,0.9211481213569641
52,0.7767883539199829
53,0.8466725945472717
54,0.7243902087211609
55,0.67903733253479
56,0.7577627897262573
57,0.7847222089767456
58,0.9256565570831299
59,0.7865351438522339
60,0.9023962616920471
61,0.8723036646842957
62,0.80098956823349
63,0.848966658115387
64,0.8165324330329895
65,0.707897424697876
66,0.7585024237632751
67,0.7104500532150269
68,0.6999520063400269
69,0.6444899439811707
70,0.6781057119369507
71,0.6758714914321899
72,0.743245542049408
73,0.6558232307434082
74,0.7690555453300476
75,0.7786219716072083
76,1.0142176151275635
77,0.9498494863510132
78,0.9879378080368042
79,1.0389668941497803
80,1.0031017065048218
81,1.1550766229629517
82,1.2068140506744385
83,1.401520848274231
84,1.1413856744766235
85,1.0777440071105957
86,1.0689308643341064
87,1.0545498132705688
88,0.9423341155052185
89,0.9014058709144592
90,0.8836519122123718
91,0.8772842288017273
92,0.8537564277648926
93,0.8785189390182495
94,0.859017014503479
95,0.7973082065582275
96,0.922600507736206
97,0.9392207264900208
98,0.7965778112411499
99,1.0726399421691895
100,0.8100430369377136
101,0.8966315388679504
102,0.8276780843734741
103,0.8240756988525391
104,0.7702307105064392
105,0.7542769312858582
106,0.7667883634567261
107,0.7502762079238892
108,0.8432444930076599
109,0.8939091563224792
110,0.7812213897705078
111,0.8112339973449707
112,0.8558907508850098
113,0.8666223287582397
114,0.7970933318138123
115,0.7711062431335449
116,0.7620230317115784
117,0.7108868360519409
118,0.8075994849205017
119,0.7968128323554993
120,0.8627438545227051
121,1.0420329570770264
122,0.9915770292282104
123,0.9614213705062866
124,1.0017530918121338
125,0.8631051778793335
126,0.8289878368377686
127,0.7518592476844788
128,0.6859179735183716
129,0.6910039782524109
130,0.6817638874053955
131,0.5809671878814697
132,0.6479869484901428
133,0.6457697749137878
134,0.5500458478927612
135,0.6848220229148865
136,0.8118876814842224
137,0.7657746076583862
138,0.7980821132659912
139,0.7295319437980652
140,0.5663673281669617
141,0.5688658952713013
142,0.6808902621269226
143,0.6631445288658142
144,0.835443377494812
145,0.722364604473114
146,0.7292056083679199
147,0.7452788949012756
148,0.7268335819244385
149,0.7786206603050232
150,0.8311817049980164
151,0.9066471457481384
152,0.861744225025177
153,0.9013870358467102
154,1.0515977144241333
155,1.1983038187026978
156,1.2150620222091675
157,1.205278754234314
158,1.0313087701797485
159,0.8965137004852295
160,0.9682885408401489
161,0.9765782356262207
162,1.0633636713027954
163,0.9695000648498535
164,1.012648344039917
165,1.0071781873703003
166,1.0037634372711182
167,0.9804457426071167
168,1.2055628299713135
169,0.8943780064582825
170,0.896603524684906
171,0.8768461346626282
172,0.8704485297203064
173,0.8163970112800598
174,0.8286285996437073
175,0.810763955116272
176,0.8746923804283142
177,1.0274900197982788
178,1.012315034866333
179,0.9890880584716797
180,1.04106605052948
181,0.9888140559196472
182,0.9708577990531921
183,0.9894558787345886
184,0.9573779702186584
185,1.05799400806427
186,1.0128686428070068
187,0.9779794216156006
188,0.9899076819419861
189,1.029420018196106
190,0.9722864627838135
191,1.0399689674377441
192,0.9612962007522583
193,0.9473371505737305
194,0.9092441201210022
195,0.9038070440292358
196,0.8891178965568542
197,0.8733551502227783
198,0.8174211978912354
199,0.8174000382423401
200,0.816567063331604
201,0.7887586951255798
202,0.9404383897781372
203,1.0611242055892944
204,0.9476993680000305
205,0.9901871681213379
206,0.932239294052124
207,0.9226930141448975
208,1.1264281272888184
209,0.9924620985984802
210,0.925410270690918
211,0.9233487248420715
212,1.0005720853805542
213,0.9667154550552368
214,1.089795470237732
215,0.9785886406898499
216,0.9393899440765381
217,0.9326854944229126
218,0.9561037421226501
219,0.9642876386642456
220,0.9548196196556091
221,0.9531216025352478
222,0.9502453207969666
223,0.9574392437934875
224,1.109460473060608
225,1.1307835578918457
226,1.126097321510315
227,1.111650824546814
228,1.1103899478912354
229,1.1232681274414062
230,0.9979197382926941
231,0.9988505840301514
232,0.9936335682868958
233,0.9854984283447266
234,0.9778891801834106
235,1.216387391090393
236,1.1561884880065918
237,1.064405083656311
238,1.0274745225906372
239,0.9691557884216309
240,0.9700344204902649
241,1.0518547296524048
242,0.9975731372833252
243,1.0265692472457886
244,1.0256038904190063
245,1.0326262712478638
246,0.9294019341468811
247,1.2148988246917725
248,0.973312258720398
249,0.9657936096191406
250,1.0176846981048584
251,1.0026134252548218
252,0.9194392561912537
253,0.8985398411750793
254,0.8370276689529419
255,0.7983894348144531
256,1.0097455978393555
257,0.8215832114219666
258,0.7692166566848755
259,0.7691348195075989
260,0.8367488384246826
261,0.9598308205604553
262,0.8037052750587463
263,0.7707511782646179
264,0.7640079259872437
265,0.7140307426452637
266,0.7499004602432251
267,0.7805467844009399
268,0.6686626076698303
269,0.7237364649772644
270,0.7141844630241394
271,0.8177427053451538
272,0.7100114822387695
273,0.7377920150756836
274,0.6172848343849182
275,0.6705813407897949
276,0.7342885136604309
277,0.6611717343330383
278,0.6473590135574341
279,0.7700731158256531
280,0.7001987099647522
281,0.6217619776725769
282,0.510631263256073
283,0.5205368995666504
284,0.5082119703292847
285,0.7166698575019836
286,0.6024208664894104
287,0.6452240943908691
288,0.534680187702179
289,0.5045905709266663
290,0.6672619581222534
291,0.7587019205093384
292,0.7538747191429138
293,1.0151079893112183
294,0.9397934675216675
295,0.9026521444320679
296,0.8647516369819641
297,0.742525577545166
298,0.5487772226333618
299,0.5373591780662537
300,0.6485684514045715
301,0.7341656684875488
302,0.7235229015350342
303,0.6609232425689697
304,0.7875093221664429
305,0.9320949912071228
306,0.8671460747718811
307,0.8774870038032532
308,0.8974964618682861
309,0.957019031047821
310,0.7764412760734558
311,0.6722655892372131
312,0.800123393535614
313,0.7846830487251282
314,0.8107432126998901
315,0.849745512008667
316,0.7761220932006836
317,0.7406688928604126
318,0.7702387571334839
319,0.6550463438034058
320,0.6302424669265747
321,0.5720574855804443
322,0.6670544743537903
323,0.6312154531478882
324,0.6408207416534424
325,0.635643482208252
326,0.7492285966873169
327,0.7615686058998108
328,0.8198854327201843
329,0.9197620153427124
330,0.776679515838623
331,0.8139764070510864
332,0.7805062532424927
333,0.7239290475845337
334,0.6892275214195251
335,0.6990811824798584
336,0.7484516501426697
337,0.7147073149681091
338,0.7944973111152649
339,0.7841777801513672
340,0.7803044319152832
341,0.8348676562309265
342,0.836746096611023
343,0.8431130647659302
344,0.8962771892547607
345,0.8885125517845154
346,0.8461284041404724
347,0.8940069675445557
348,1.0586811304092407
349,0.9052858948707581
350,0.8795276880264282
351,0.799309253692627
352,0.7860804796218872
353,0.7604032158851624
354,0.7594451308250427
355,0.733514130115509
356,0.7114048004150391
357,0.7572841048240662
358,0.7553219795227051
359,0.8174892067909241
360,0.72850102186203
361,0.766467273235321
362,0.7198320627212524
363,0.6819397807121277
364,0.6798204183578491
365,0.6790703535079956
366,0.6544750332832336
367,0.6568521857261658
368,0.5756435394287109
369,0.7060676217079163
370,0.5928632616996765
371,0.7017922401428223
372,0.7934320569038391
373,0.7913561463356018
374,0.7071608901023865
375,0.7583943605422974
376,0.6695675849914551
377,0.7558037042617798
378,0.8414195775985718
379,1.1029441356658936
380,1.0082571506500244
381,1.0409802198410034
382,1.0195863246917725
383,0.9660524129867554
384,0.912247896194458
385,1.0529407262802124
386,0.959679126739502
387,0.9616413116455078
