,cum_rewards,episode_durations
0,26.575103759765625,1508
1,35.188377380371094,5980
2,-16.29723358154297,2849
3,1.96417236328125,5980
4,-0.9929389953613281,5976
5,-16.257511138916016,5980
6,56.610368728637695,4788
7,15.235824584960938,1871
8,18.569843292236328,5986
9,-11.775705337524414,5972
10,-9.686325073242188,3666
11,24.589309692382812,3611
12,7.20306396484375,5980
13,11.411155700683594,5980
14,25.381465911865234,3675
15,-15.789352416992188,5977
16,48.45982360839844,5977
17,4.434059143066406,5985
18,22.650131225585938,1427
19,-1.3908615112304688,642
20,32.6634635925293,2651
21,0.7914962768554688,643
22,-9.074080467224121,1384
23,6.619029998779297,1983
24,8.158058166503906,5975
25,-10.079715728759766,3785
26,-10.055778503417969,3742
27,-57.969932556152344,5975
28,10.959075927734375,5976
29,2.8248252868652344,5974
30,5.205242156982422,5992
31,-14.342113494873047,895
32,29.612003326416016,5981
33,14.105598449707031,5979
34,16.938270568847656,5986
35,2.1661148071289062,643
36,23.163482666015625,5980
37,-5.2050628662109375,881
38,15.376110076904297,1455
39,26.568130493164062,1620
40,1.1990890502929688,2268
41,8.139087677001953,5978
42,0.38185882568359375,5979
43,3.8227806091308594,5980
44,-10.26025390625,5976
45,8.821731567382812,1275
46,-12.072223663330078,5235
47,9.239494323730469,5979
48,-6.170829772949219,1023
49,27.175819396972656,5975
50,13.72494125366211,5977
51,14.825164794921875,2652
52,21.61892318725586,5980
53,0.9400749206542969,642
54,13.046794891357422,3221
55,-2.8387832641601562,5978
56,-25.598670959472656,2880
57,0.8748369216918945,5980
58,45.160356521606445,5978
59,-5.393196105957031,842
60,4.3883056640625,779
61,-20.693679809570312,995
62,11.573410034179688,3087
63,59.63095283508301,3082
64,-2.4247703552246094,3962
65,60.99792289733887,5977
66,-17.043479919433594,2574
67,-27.687828063964844,5987
68,-4.703712463378906,5979
69,36.069766998291016,5986
70,9.876888275146484,1418
71,-7.4474639892578125,1710
72,-19.55841064453125,1893
73,2.5989151000976562,5977
74,5.63189697265625,5978
75,-0.41101837158203125,5986
76,10.23074722290039,1266
77,20.179794311523438,2141
78,11.507667541503906,5980
79,13.776260375976562,5980
80,-15.841386795043945,5977
81,136.89506340026855,3632
82,7.055122375488281,5210
83,-6.541404724121094,935
84,-11.585613250732422,1887
85,6.813407897949219,1412
86,1.8841781616210938,922
87,12.77730941772461,5976
88,-16.198001861572266,5979
89,23.671241760253906,5982
90,-23.292343139648438,3321
91,-4.325801849365234,858
92,12.2166748046875,2024
93,9.82583236694336,5977
94,9.748985290527344,2426
95,63.11744499206543,2928
96,-0.6766891479492188,5977
97,29.99720001220703,2530
98,2.9368820190429688,1126
99,-9.167198181152344,5976
100,7.349479675292969,2118
101,13.195323944091797,5979
102,0.6282148361206055,5979
103,6.070503234863281,5979
104,13.11233901977539,2513
105,39.54561758041382,5977
106,-26.104368209838867,5979
107,4.144287109375,5987
108,8.784957885742188,5987
109,8.923927307128906,5993
110,-9.07084846496582,1424
111,-7.259330749511719,977
112,14.953926086425781,5975
113,-0.34485626220703125,5978
114,2.2881698608398438,5981
115,-13.079856872558594,915
116,11.581375122070312,5977
117,62.29078197479248,5977
118,1.9773635864257812,3765
119,-5.6149444580078125,5977
120,-30.431724548339844,5980
121,-38.76470947265625,5985
122,12.482063293457031,1369
123,13.822731018066406,4165
124,4.621246337890625,643
125,-6.4239959716796875,1626
126,14.252052307128906,5977
127,11.537700653076172,1756
128,4.150653839111328,642
129,23.783653259277344,2180
130,28.96489906311035,5977
131,23.77088165283203,3051
132,-17.4022216796875,1202
133,28.919452667236328,3571
134,5.29498291015625,5980
135,3.20538330078125,5977
136,13.158817291259766,4996
137,5.777091979980469,643
138,-4.5655059814453125,70
139,41.14826583862305,5153
140,-3.3003463745117188,3951
141,7.5515594482421875,3143
142,-21.516448974609375,1926
143,-13.803749084472656,967
144,-8.277652740478516,5979
145,0.27100372314453125,642
146,11.056842803955078,5979
147,-1.9488067626953125,5978
148,7.67071533203125,5979
149,26.115161895751953,5977
150,-22.816570281982422,843
151,20.594680786132812,5975
152,-7.178497314453125,1225
153,-14.172920227050781,5976
154,19.319379806518555,3269
155,18.85010528564453,5980
156,2.467041015625,3233
157,9.161994934082031,5980
158,21.207019805908203,5981
159,-8.911300659179688,5980
160,25.57898712158203,5977
161,24.660472869873047,5979
162,5.364139556884766,5604
163,12.301704406738281,5980
164,0.8413009643554688,5988
165,5.485923767089844,821
166,-1.0278778076171875,5971
167,28.70966911315918,1999
168,8.897361755371094,1301
169,-2.1896705627441406,916
